House_Area,Num_Occupants,Temperature,Appliance_Usage,Consumption
293.0,3.0,,11.0,575.8031780123076
113.0,2.0,34.0,11.0,299.64610894790735
298.0,4.0,19.0,3.0,524.0067209586712
180.0,7.0,31.0,4.0,606.4567085934794
278.0,3.0,35.0,10.0,439.66427519786254
100.0,,12.0,8.0,816.7222820432067
184.0,1.0,17.0,5.0,256.07736883650404
70.0,4.0,23.0,11.0,556.5350278531967
,1.0,33.0,6.0,115.26408706825316
216.0,6.0,27.0,3.0,672.8202714848163
67.0,1.0,24.0,9.0,179.43074467244568
181.0,2.0,31.0,5.0,152.26534019024962
138.0,4.0,32.0,10.0,508.6900430163064
109.0,4.0,11.0,6.0,539.6559663542788
63.0,6.0,36.0,10.0,707.633884239901
291.0,7.0,19.0,5.0,778.4402119752001
299.0,2.0,11.0,11.0,508.35443467242726
58.0,3.0,35.0,6.0,270.23481726224384
139.0,1.0,26.0,10.0,184.4374047576444
102.0,5.0,17.0,9.0,670.3836637461646
179.0,1.0,10.0,4.0,256.8684015805901
133.0,1.0,18.0,2.0,101.96538459844784
141.0,3.0,20.0,4.0,453.2546304310736
160.0,1.0,31.0,5.0,109.03199962331709
237.0,2.0,25.0,3.0,231.16582646546664
248.0,2.0,,2.0,260.21643260156986
221.0,4.0,38.0,8.0,439.7250463355756
57.0,6.0,19.0,9.0,685.5487253383071
224.0,7.0,32.0,8.0,740.2955565383738
84.0,5.0,35.0,6.0,477.42335880433535
255.0,,12.0,2.0,210.37370015121485
130.0,1.0,27.0,8.0,75.8598754979601
213.0,3.0,34.0,8.0,391.4025243760072
99.0,6.0,33.0,10.0,686.6067040870964
153.0,2.0,22.0,4.0,272.22944953452696
181.0,5.0,37.0,10.0,665.7317536287912
51.0,4.0,35.0,2.0,333.0677132300255
183.0,2.0,16.0,2.0,220.4818138732224
103.0,6.0,34.0,5.0,544.6793913871177
155.0,7.0,13.0,10.0,941.4752200774927
,4.0,22.0,7.0,429.1360081831239
103.0,,29.0,4.0,625.0972990438188
270.0,3.0,10.0,2.0,543.7070871700298
240.0,3.0,17.0,5.0,419.4637867691403
195.0,1.0,23.0,10.0,251.1737908655728
267.0,7.0,25.0,4.0,678.8934971879011
93.0,6.0,23.0,10.0,774.0701046189414
211.0,5.0,21.0,8.0,611.1032077101729
251.0,4.0,,5.0,486.9310279783913
239.0,2.0,,4.0,287.93115781522107
277.0,6.0,24.0,,789.8865726137964
63.0,,37.0,,570.474122590877
144.0,3.0,11.0,6.0,513.1893705096904
97.0,7.0,,4.0,650.6626471568261
64.0,1.0,32.0,10.0,131.47470765103907
249.0,1.0,31.0,5.0,124.27290581064644
255.0,4.0,28.0,6.0,498.1547438719796
264.0,3.0,34.0,,359.6104561313231
298.0,6.0,35.0,6.0,640.9368683526704
239.0,5.0,39.0,8.0,551.7813326943492
89.0,3.0,38.0,10.0,315.83875147735887
,4.0,31.0,8.0,518.4605377413566
257.0,4.0,35.0,6.0,484.4111366265548
286.0,3.0,35.0,11.0,533.5282061185541
131.0,4.0,31.0,11.0,583.2665498273208
160.0,3.0,26.0,8.0,442.6817130667662
102.0,2.0,29.0,11.0,282.30129402574516
73.0,3.0,19.0,6.0,361.3352039836323
203.0,7.0,15.0,4.0,925.2164701746194
266.0,3.0,24.0,8.0,523.7266346343649
237.0,4.0,31.0,3.0,401.47477205632373
,7.0,20.0,10.0,965.601909148189
286.0,4.0,37.0,11.0,558.5965405101293
90.0,1.0,14.0,11.0,261.5799015848366
206.0,1.0,10.0,2.0,262.78659679642817
64.0,7.0,17.0,7.0,721.5175354994051
94.0,2.0,30.0,8.0,161.31112098658218
114.0,1.0,,9.0,199.06422890302375
138.0,,21.0,11.0,485.38454658081065
120.0,4.0,21.0,10.0,561.3682739268578
58.0,1.0,14.0,3.0,100.92885802865113
137.0,1.0,16.0,11.0,296.5753316307971
178.0,2.0,13.0,3.0,261.09450485843115
285.0,,,6.0,856.20035348728
185.0,7.0,22.0,6.0,783.404488881562
265.0,6.0,29.0,7.0,706.827438059115
112.0,2.0,39.0,4.0,99.57081144906323
188.0,3.0,24.0,,426.7415400334078
292.0,7.0,12.0,2.0,700.8620239168893
130.0,4.0,32.0,7.0,479.2321100777584
185.0,2.0,17.0,5.0,327.0126634491571
212.0,1.0,29.0,,96.75455837520839
212.0,4.0,25.0,8.0,552.8662192379871
82.0,4.0,22.0,10.0,544.6788701569315
172.0,1.0,27.0,5.0,114.79991016978505
54.0,2.0,37.0,5.0,115.37098488897978
,1.0,19.0,7.0,312.9158304815188
280.0,6.0,39.0,4.0,635.3751742579568
299.0,4.0,28.0,7.0,651.6660244841153
90.0,5.0,26.0,8.0,655.9806077718656
77.0,5.0,33.0,11.0,640.1506070194175
,3.0,28.0,11.0,433.91325421360904
250.0,7.0,37.0,4.0,691.7721498365213
,1.0,35.0,8.0,95.39766381856329
61.0,1.0,32.0,4.0,64.48786748933546
211.0,3.0,35.0,3.0,153.45225777701492
82.0,3.0,14.0,11.0,468.06903615285006
97.0,3.0,35.0,5.0,258.16418003390913
,4.0,30.0,9.0,501.7854733415004
,6.0,39.0,,744.8868157289318
111.0,1.0,32.0,8.0,98.54291357050587
265.0,4.0,18.0,2.0,495.8871332851631
86.0,3.0,21.0,4.0,457.1888711744525
148.0,1.0,30.0,10.0,143.44971950223893
221.0,4.0,10.0,2.0,493.07242974964754
153.0,6.0,35.0,10.0,681.1269931182368
263.0,4.0,,,506.40156605518075
268.0,6.0,10.0,2.0,762.012554731768
84.0,,24.0,7.0,417.31645524142215
242.0,6.0,11.0,6.0,824.5819074650668
276.0,1.0,39.0,7.0,146.8330458774383
150.0,3.0,31.0,11.0,561.6924039201208
224.0,1.0,25.0,6.0,118.48784058290539
255.0,5.0,34.0,7.0,545.8685465482853
180.0,,17.0,6.0,333.48646421951867
50.0,6.0,22.0,6.0,639.4696959572825
54.0,2.0,30.0,5.0,201.40220396893747
267.0,2.0,,4.0,442.50670475376006
296.0,6.0,25.0,,697.00745403172
191.0,3.0,38.0,5.0,311.186473010649
152.0,5.0,16.0,10.0,666.2741973637875
76.0,1.0,14.0,3.0,157.4164259230321
186.0,4.0,31.0,10.0,522.0760744674831
256.0,1.0,38.0,2.0,62.047148946682846
64.0,4.0,32.0,2.0,339.1741576481889
139.0,1.0,12.0,6.0,281.24604635402994
91.0,6.0,21.0,7.0,570.0946724163061
173.0,5.0,35.0,7.0,569.5389212336714
254.0,4.0,25.0,4.0,468.4898340661231
228.0,7.0,28.0,8.0,881.3808468830705
112.0,3.0,14.0,10.0,473.49386994627446
145.0,1.0,31.0,11.0,302.55262165811496
280.0,1.0,34.0,9.0,216.17934897579806
290.0,4.0,38.0,7.0,383.4835046187055
101.0,3.0,23.0,9.0,468.07965203358333
145.0,3.0,37.0,6.0,265.32275188772644
181.0,,14.0,9.0,721.4874031628236
271.0,7.0,24.0,11.0,936.3026709321965
